Овощи на салат, мороженое и кекс	Еда	2012-12-29	247,59	
Салаты, пироги, сыр и масло в Эссене	Еда	2012-12-31	1288,35	
Кекс, молоко, конфеты	Еда	2013-04-01	121,12	
Молоко	Еда	2013-04-02	25,90	
Яблоки, молоко и хлеб	Еда	2013-04-03	80,90	
Два крабика	Украшения	2013-04-03	520,00	
Твиста твиста атлас и резинка RC152 RC151 RC149	Украшения	2013-04-03	102,50	
Чипсы, сухарики и семечки	Еда	2013-04-04	104,20	
Молоко и каша пять злаков	Еда	2013-04-04	148,60	
Браслет майя цветки, браслет змейка стразы	Украшения	2013-04-04	569,00	
Рожок алтайский, масло подсолнечное, макароны рожки, помидоры, картошка, огурцы, хлеб	Еда	2013-04-05	297,69	3
Молоко и заварное печенье	Еда	2013-04-08	58,73	
Хлеб и омичка	Еда	2013-04-09	37,80	
Молоко	Еда	2013-04-09	33,60	
Хлеб, молоко и сникерс	Еда	2013-04-11	73,50	
Огурцы и помидоры	Еда	2013-04-11	134,06	
Торт «медовый»	Еда	2013-04-13	118,20	
Молоко	Еда	2013-04-13	51,80	
Всякая еда на семинарах Калинди Прии и ещё одного лектора 15.04.2013-17.04-2013	Еда	2013-04-15	300,00	
Молоко	Еда	2013-04-16	51,80	
Бананы и молочный коктейль	Еда	2013-04-16	70,10	
Алтайские рожки, простокваша и бананы	Еда	2013-04-17	37,26	
Хлеб	Еда	2013-04-18	13,20	
Овощи и фрукты из Магнита	Еда	2013-04-19	795,23	
Пирог карамельный и активия питьевая	Еда	2013-04-20	144,30	
Молоко	Еда	2013-04-21	25,90	
Крекер, катык, мороженое, груши, сырок и напиток освежающий	Еда	2013-04-22	181,92	3
Язычки слоёные, помидоры, молоко, катык, хлеб, бананы, огурцы,  сникерс	Еда	2013-04-23	277,30	3
Семечки	Еда	2013-04-25	30,80	
Рис, кефир, молоко и хлеб	Еда	2013-04-26	108,10	
Банка персиков, малина протёртая с сахаром, спагетти, два мороженых, йогурт, лаваш и чипсы	Еда	2013-04-28	247,60	3
Молоко и сметана	Еда	2013-04-30	61,60	
Помидоры, 4 сгущёнки, ирис, виноград, груша, молоко, питьевой йогурт, сливочное масло, багет мраморный, лаваш матнакаш, сыр сметанковый, слойка малютка, бананы, мандарины и конфеты	Еда	2013-05-01	765,67	3
Батарейки мизинчиковые 2 шт.	Хозтовары	2013-05-01	59,00	
Два пакета маечки	Хозтовары	2013-05-01	10,00	
Хлеб	Еда	2013-05-02	13,20	
Молоко на нама-хатту	Пожертвование	2013-05-02	77,70	
Картошка, кабачки, молоко, сливки, спагетти, разрыхлитель теста, лавровый лист	Еда	2013-05-03	265,32	
Этажерка	Оборудование	2013-05-04	610,00	
Ножеточка и крючки на липучках	Хозтовары	2013-05-04	135,00	
Удобрение, полоски самоклеящиеся, слайдеры для передвижения мебели, лампочка в лампу	Хозтовары	2013-05-04	447,00	
Овощи на рынке	Еда	2013-05-05	115,00	
Подставка под цветы	Оборудование	2013-05-05	1600,00	
Корж бисквитный, хлеб, омичка, сливки, молоко	Еда	2013-05-06	145,60	
Хлеб и семечки	Еда	2013-05-06	42,00	
Майонез постный	Еда	2013-05-06	14,00	
Творожная паста, плавленый сыр, сметана, молоко и лаваш	Еда	2013-05-08	100,30	
Браслет бирюза агат, бусы перламутровые и серьги-кошечки	Украшения	2013-05-08	854,00	
Апельсины на нама-хатту	Пожертвование	2013-05-09	39,00	
Кексы, греческий салат, джем малиновый, хлеб, лаваш	Еда	2013-05-10	263,68	
Виноград, бананы, огурцы, крекер, петрушка и укроп, помидоры, красный рис, печенье, бурый рис, кефир	Еда	2013-05-10	505,37	
Семечки и молоко	Еда	2013-05-11	67,80	
Чётки из семян лотоса	Оборудование	2013-05-11	500,00	
Лаваш и омичка	Еда	2013-05-12	74,70	
Молоко	Еда	2013-05-13	25,90	
Крышка на бутылку с водой	Хозтовары	2013-05-13	5,00	21
Огурцы, молоко, хлеб, батон, капуста, картофель, сыр, топлёное молоко, бананы, перец, морковь, помидоры, свекла, лимоны, сгущёнка, торт медовый, перец чили, слойка	Еда	2013-05-15	969,31	5
Топлёное молоко	Еда	2013-05-15	25,90	
Скотч	Хозтовары	2013-05-15	65,00	
Пистолет для герметика	Оборудование	2013-05-18	67,41	
Герметик	Хозтовары	2013-05-18	130,00	
Хлеб и лаваш	Еда	2013-05-19	42,00	
Молоко	Еда	2013-05-19	25,90	
Молоко и мороженое	Еда	2013-05-19	68,40	
Груши	Еда	2013-05-20	109,96	
Сникерс и семечки	Еда	2013-05-20	60,60	
Бананы	Еда	2013-05-21	69,15	
Ролик для очистки одежды	Хозтовары	2013-05-22	25,38	
Ватные палочки	Хозтовары	2013-05-22	28,90	
Хлеб	Еда	2013-05-23	13,20	
Семечки	Еда	2013-05-23	30,80	
Масло, сыр, лапша, молоко, рожки, плюшки, виноград белы, спагетти, бананы, матнакаш, виноград красный	Еда	2013-05-24	592,81	3
Семечки	Еда,семечки	2013-05-25	17,00	
Прокладки	Хозтовары	2013-05-25	42,70	
Бананы, хлеб, молоко, груши, батон, круассаны с шоколадом, лаваш	Еда	2013-05-26	244,32	3
Сладости разные	Еда,сладости	2013-05-26	247,00	
Расчёски	Оборудование	2013-05-26	35,00	
Подставка для специй	Оборудование	2013-05-26	850,00	
Тряпка, не оставляющая разводов	Хозтовары	2013-05-26	80,00	
Молоко и топлёное молоко	Еда,молоко	2013-05-28	51,80	
Капуста, тыква, яблоки, лаваш, кабачки, малина протёртая с сахаром, перец, клубника, молоко топлёное, молоко	Еда	2013-05-29	473,22	3
Хлеб и лаваш	Еда,хлеб	2013-05-30	42,00	
Масло подсолнечное	Еда	2013-05-31	80,90	
Мука	Еда	2013-06-01	63,40	
Кефир и сметана	Еда,молочные продукты	2013-06-01	55,30	
Масло сливочное и молоко	Еда	2013-06-02	79,80	
Сметана	Еда,молочные продукты	2013-06-03	33,10	
Сахар, молоко	Еда	2013-06-05	142,40	
